x,y
1.4,1
1.4,1
1.3,1
1.5,1
1.4,1
1.7,1
1.4,1
1.5,1
1.4,1
1.5,1
1.5,1
1.6,1
1.4,1
1.1,1
1.2,1
1.5,1
1.3,1
1.4,1
1.7,1
1.5,1
1.7,1
1.5,1
1,1
1.7,1
1.9,1
1.6,1
1.6,1
1.5,1
1.4,1
1.6,1
1.6,1
1.5,1
1.5,1
1.4,1
1.5,1
1.2,1
1.3,1
1.4,1
1.3,1
1.5,1
1.3,1
1.3,1
1.3,1
1.6,1
1.9,1
1.4,1
1.6,1
1.4,1
1.5,1
1.4,0
4.7,0
4.5,0
4.9,0
4,0
4.6,0
4.5,0
4.7,0
3.3,0
4.6,0
3.9,0
3.5,0
4.2,0
4,0
4.7,0
3.6,0
4.4,0
4.5,0
4.1,0
4.5,0
3.9,0
4.8,0
4,0
4.9,0
4.7,0
4.3,0
4.4,0
4.8,0
5,0
4.5,0
3.5,0
3.8,0
3.7,0
3.9,0
5.1,0
4.5,0
4.5,0
4.7,0
4.4,0
4.1,0
4,0
4.4,0
4.6,0
4,0
3.3,0
4.2,0
4.2,0
4.2,0
4.3,0
3,0
4.1,0
6,0
5.1,0
5.9,0
5.6,0
5.8,0
6.6,0
4.5,0
6.3,0
5.8,0
6.1,0
5.1,0
5.3,0
5.5,0
5,0
5.1,0
5.3,0
5.5,0
6.7,0
6.9,0
5,0
5.7,0
4.9,0
6.7,0
4.9,0
5.7,0
6,0
4.8,0
4.9,0
5.6,0
5.8,0
6.1,0
6.4,0
5.6,0
5.1,0
5.6,0
6.1,0
5.6,0
5.5,0
4.8,0
5.4,0
5.6,0
5.1,0
5.1,0
5.9,0
5.7,0
5.2,0
5,0
5.2,0
5.4,0
5.1,0
